County,State,crime_rate_per_100000,INflow,OUTflow,NET in,GROSS out
utah county,ut,71.39090871,49163.0,35152.0,7846.0,78150.0
morrow county,oh,71.36128793,2517.0,2034.0,419.0,4487.0
o'brien county,ia,71.20478496,1130.0,503.0,546.0,1552.0
nicholas county,ky,71.03281716,884.0,1742.0,-875.0,2609.0
weston county,wy,69.85191394,837.0,315.0,420.0,1050.0
clatsop county,or,69.80990227,3286.0,3415.0,-197.0,6633.0
hocking county,oh,69.77149834,1053.0,1573.0,-549.0,2597.0
hitchcock county,ne,69.63788301,153.0,124.0,26.0,274.0
yellow medicine county,mn,69.01311249,428.0,867.0,-439.0,1295.0
iroquois county,il,69.00835001,1279.0,1402.0,-177.0,2627.0
st. croix county,wi,68.66053765,4927.0,5887.0,-1091.0,10683.0
juniata county,pa,68.6369509,1018.0,918.0,72.0,1908.0
perkins county,ne,68.46970216,183.0,259.0,-79.0,439.0
lagrange county,in,68.42825561,2091.0,1896.0,180.0,3972.0
saratoga county,ny,68.34476135,14856.0,13285.0,988.0,27558.0
davis county,ia,68.25162098,24464.0,24017.0,-1238.0,46796.0
audubon county,ia,68.10829218,279.0,464.0,-187.0,741.0
nuckolls county,ne,67.98096533,147.0,276.0,-129.0,423.0
trempealeau county,wi,67.60868095,1391.0,1760.0,-392.0,3128.0
ascension parish,la,67.31181104,6220.0,4709.0,1257.0,10675.0
moultrie county,il,67.22237161,831.0,781.0,35.0,1597.0
hamlin county,sd,67.10283509,512.0,622.0,-130.0,1114.0
adair county,ia,66.91648822,5776.0,7129.0,-1551.0,12707.0
litchfield county,ct,66.87209775,7279.0,8731.0,-1668.0,15794.0
tishomingo county,ms,66.5676686,501.0,849.0,-397.0,1301.0
woods county,ok,66.36434023,1015.0,753.0,258.0,1764.0
houghton county,mi,66.25258799,3323.0,2142.0,850.0,5134.0
ashland county,oh,65.9842015,4358.0,3965.0,235.0,8165.0
grundy county,il,65.70040615,4199.0,6374.0,-2309.0,10439.0
tioga county,ny,65.68079135,4109.0,5056.0,-1060.0,9052.0
hot spring county,ar,65.67164179,2174.0,1944.0,208.0,4096.0
fluvanna county,va,65.44250683,2314.0,1849.0,223.0,3921.0
chickasaw county,ia,64.92979466,1446.0,1788.0,-537.0,3039.0
matanuska-susitna borough,ak,64.08101521,8286.0,6400.0,1466.0,14266.0
rowan county,ky,63.75653504,11851.0,9711.0,1723.0,21145.0
hickman county,ky,63.22444679,1208.0,1292.0,-99.0,2485.0
carver county,mn,62.78646324,6546.0,7988.0,-1696.0,14280.0
tattnall county,ga,62.68118781,4483.0,1118.0,3345.0,5581.0
throckmorton county,tx,62.5,165.0,109.0,40.0,258.0
casey county,ky,62.23937263,896.0,1209.0,-326.0,2092.0
windham county,ct,62.07271862,8924.0,8693.0,-268.0,17118.0
amite county,ms,62.02031165,411.0,514.0,-117.0,911.0
newton county,ar,62.00396825,15355.0,14993.0,-491.0,29495.0
antelope county,ne,61.95786865,266.0,353.0,-105.0,601.0
waukesha county,wi,61.95362111,23822.0,23051.0,-329.0,45773.0
dubois county,in,61.37721017,1209.0,2604.0,-1446.0,3762.0
scotland county,mo,60.96321886,2586.0,2225.0,302.0,4752.0
de witt county,il,60.90133983,565.0,917.0,-352.0,1482.0
burt county,ne,60.84575601,461.0,170.0,273.0,613.0
mcduffie county,ga,60.28286575,1424.0,960.0,456.0,2376.0
hudspeth county,tx,60.27727547,1133.0,143.0,282.0,568.0
breckinridge county,ky,59.88023952,789.0,1380.0,-591.0,2169.0
addison county,vt,59.79723302,2795.0,2557.0,17.0,5131.0
schoharie county,ny,59.66587112,2091.0,1564.0,515.0,3643.0
treutlen county,ga,59.59475566,768.0,681.0,69.0,1431.0
ringgold county,ia,59.14826498,244.0,326.0,-97.0,555.0
garrard county,ky,59.11912504,977.0,1582.0,-639.0,2525.0
washakie county,wy,59.08070424,556.0,336.0,211.0,883.0
noble county,in,58.86062645,5473.0,4333.0,1004.0,9670.0
hanson county,sd,58.73715125,131.0,401.0,-270.0,532.0
woodford county,il,58.56440812,4147.0,4160.0,-278.0,8042.0
mccone county,mt,58.51375073,27.0,56.0,-29.0,83.0
teton county,id,58.39416058,4021.0,3087.0,557.0,6731.0
parke county,in,58.13277526,1487.0,1001.0,455.0,2457.0
green lake county,wi,58.01993776,1003.0,1279.0,-284.0,2274.0
juab county,ut,57.98221879,989.0,748.0,233.0,1729.0
somervell county,tx,57.75005775,1154.0,558.0,596.0,1712.0
sagadahoc county,me,57.12164053,2419.0,2436.0,-71.0,4801.0
powell county,ky,56.02689291,1936.0,1616.0,320.0,3552.0
harney county,or,55.97537084,599.0,626.0,-31.0,1221.0
sarpy county,ne,55.51257596,16075.0,14207.0,898.0,29312.0
copiah county,ms,55.32312161,776.0,1312.0,-585.0,2039.0
tillamook county,or,55.29881108,1601.0,1223.0,376.0,2822.0
lafayette county,ar,55.15719801,11401.0,8603.0,2533.0,19739.0
grant parish,la,54.47117567,2180.0,1701.0,136.0,3538.0
coshocton county,oh,54.40696409,1830.0,1237.0,589.0,3063.0
ransom county,nd,54.38723713,287.0,272.0,1.0,545.0
tippah county,ms,54.33798225,925.0,1116.0,-192.0,2040.0
dearborn county,in,54.10387945,2464.0,2924.0,-509.0,5339.0
chaffee county,co,54.02485143,1323.0,1102.0,100.0,2304.0
ozaukee county,wi,53.9894778,5627.0,4963.0,347.0,10273.0
waldo county,me,53.92912173,2684.0,1912.0,681.0,4505.0
oliver county,nd,53.36179296,122.0,13.0,105.0,131.0
powhatan county,va,53.08043455,2392.0,2195.0,197.0,4587.0
mccook county,sd,53.05978069,457.0,529.0,-72.0,986.0
marinette county,wi,52.87190579,2285.0,2208.0,15.0,4431.0
fillmore county,mn,52.79577634,1260.0,1363.0,-170.0,2556.0
pearl river county,ms,52.65833818,2954.0,3357.0,-493.0,6221.0
cache county,ut,52.17733451,10394.0,8901.0,385.0,18187.0
plymouth county,ia,52.0895941,24288.0,25296.0,-3154.0,47438.0
sullivan county,in,51.83056118,16677.0,16063.0,-33.0,32093.0
george county,ms,51.8157088,1011.0,951.0,60.0,1962.0
deuel county,ne,51.62622612,387.0,244.0,130.0,618.0
gilliam county,or,51.36106831,104.0,85.0,12.0,182.0
leake county,ms,51.30616957,1149.0,901.0,235.0,2037.0
lewis county,id,51.25576627,9461.0,8160.0,1050.0,17370.0
stewart county,ga,51.12474438,2812.0,977.0,1295.0,3249.0
lake of the woods county,mn,50.9035378,197.0,166.0,31.0,363.0
gosper county,ne,50.70993915,120.0,216.0,-104.0,328.0
broomfield county,co,50.44475459,10259.0,9913.0,5.0,19831.0
larue county,ky,49.77246871,937.0,1363.0,-439.0,2287.0
isanti county,mn,49.73301225,3025.0,2640.0,374.0,5654.0
pittsylvania county,va,49.65879601,2277.0,3112.0,-881.0,5343.0
dolores county,co,49.28536225,89.0,163.0,-74.0,252.0
richardson county,ne,49.23076923,316.0,268.0,48.0,584.0
tuscarawas county,oh,48.55835635,5460.0,3653.0,1625.0,8931.0
dawson county,ga,48.48805431,5592.0,4572.0,711.0,9855.0
keokuk county,ia,48.40739665,723.0,655.0,57.0,1367.0
muhlenberg county,ky,48.10930434,1042.0,1402.0,-366.0,2438.0
oldham county,ky,48.10467577,5719.0,4553.0,1020.0,10126.0
lamoure county,nd,48.00768123,184.0,189.0,-11.0,367.0
carter county,ky,47.79060363,7575.0,7935.0,-768.0,15102.0
bracken county,ky,47.52851711,304.0,619.0,-326.0,912.0
belmont county,oh,47.43355709,2230.0,2915.0,-711.0,5119.0
amherst county,va,46.61570017,2515.0,1919.0,496.0,4334.0
greenup county,ky,46.55111038,1812.0,1981.0,-192.0,3770.0
elbert county,co,46.34896558,4229.0,3571.0,558.0,7700.0
magoffin county,ky,46.33204633,664.0,627.0,-10.0,1244.0
llano county,tx,46.28677227,2149.0,1050.0,1065.0,3165.0
kingfisher county,ok,45.82351401,506.0,455.0,-14.0,896.0
stanton county,ks,45.57885141,436.0,566.0,-181.0,951.0
trimble county,ky,45.37205082,728.0,464.0,260.0,1188.0
kittson county,mn,44.41483455,268.0,201.0,38.0,440.0
culberson county,tx,43.91743522,153.0,227.0,-74.0,380.0
ogle county,il,43.9056982,2648.0,3480.0,-915.0,6045.0
kewaunee county,wi,43.89173372,879.0,933.0,-84.0,1782.0
steuben county,in,43.65795448,5814.0,6684.0,-1129.0,12239.0
benson county,nd,43.62367311,200.0,287.0,-95.0,479.0
le sueur county,mn,43.14994606,1897.0,2076.0,-247.0,3905.0
spencer county,in,42.97173415,2322.0,2630.0,-362.0,4898.0
grand isle county,vt,42.93688278,439.0,615.0,-193.0,1037.0
miner county,sd,42.86326618,126.0,116.0,10.0,242.0
woodruff county,ar,42.42081448,252.0,485.0,-253.0,717.0
whitley county,in,42.04961855,5199.0,3149.0,1923.0,8221.0
hutchinson county,sd,41.98740378,1480.0,2675.0,-1196.0,4154.0
wabasha county,mn,41.97173903,1170.0,1024.0,87.0,2135.0
faulk county,sd,41.91114837,116.0,45.0,64.0,154.0
evangeline parish,la,41.69396629,1640.0,932.0,491.0,2355.0
wasatch county,ut,41.60835193,3794.0,2444.0,1159.0,6047.0
dickinson county,ia,41.28575641,3045.0,3912.0,-1035.0,6789.0
morrill county,ne,40.74979625,289.0,1240.0,-958.0,1522.0
tensas parish,la,40.74979625,131.0,201.0,-70.0,332.0
wyandot county,oh,40.09444469,887.0,748.0,69.0,1565.0
carlisle county,ky,39.9920016,96.0,274.0,-178.0,370.0
pleasants county,wv,39.59350666,517.0,433.0,84.0,950.0
renville county,mn,39.56217856,776.0,943.0,-183.0,1703.0
elliott county,ky,39.28244075,893.0,322.0,571.0,1215.0
posey county,in,39.23722828,1250.0,1703.0,-457.0,2949.0
auglaize county,oh,39.19860627,2170.0,2198.0,-38.0,4358.0
kemper county,ms,38.85758694,869.0,562.0,299.0,1423.0
buchanan county,ia,38.13882532,8027.0,8171.0,-309.0,16033.0
jim hogg county,tx,38.13155386,312.0,265.0,47.0,577.0
letcher county,ky,38.10491553,531.0,1063.0,-596.0,1530.0
otoe county,ne,38.09040122,1009.0,1046.0,-37.0,2055.0
columbiana county,oh,36.82962991,4275.0,4770.0,-597.0,8943.0
webster county,ga,36.77822729,7583.0,6708.0,764.0,14180.0
hunterdon county,nj,36.43564356,6617.0,7279.0,-1007.0,13551.0
conejos county,co,36.24501631,478.0,281.0,176.0,738.0
geauga county,oh,36.18099008,4421.0,4477.0,-303.0,8651.0
rockcastle county,ky,35.94320973,967.0,1180.0,-215.0,2145.0
tolland county,ct,35.67252621,12980.0,9001.0,2824.0,20826.0
ziebach county,sd,35.2858151,50.0,229.0,-179.0,279.0
grand county,co,34.99195185,1903.0,2544.0,-706.0,4382.0
fleming county,ky,34.46374414,651.0,836.0,-209.0,1463.0
stevens county,ks,34.38789546,3894.0,3956.0,-176.0,7736.0
humphreys county,ms,33.62474781,1358.0,1244.0,72.0,2560.0
saunders county,ne,33.44641407,1255.0,1967.0,-724.0,3210.0
uinta county,wy,33.22889965,960.0,1023.0,-76.0,1970.0
appomattox county,va,32.77613897,576.0,597.0,-41.0,1153.0
vilas county,wi,32.75926619,1416.0,1095.0,314.0,2504.0
salem city,va,31.62180323,2697.0,2259.0,396.0,4914.0
schleicher county,tx,31.19151591,132.0,196.0,-64.0,328.0
brookings county,sd,30.33244358,4309.0,3237.0,796.0,7270.0
upton county,tx,29.65599051,203.0,301.0,-98.0,504.0
cameron parish,la,29.65599051,104.0,334.0,-231.0,437.0
shackelford county,tx,29.62962963,207.0,182.0,25.0,389.0
wallowa county,or,29.35133549,407.0,444.0,-45.0,843.0
bond county,il,28.62049227,900.0,1218.0,-376.0,2060.0
winneshiek county,ia,28.57959417,1686.0,1333.0,256.0,2922.0
switzerland county,in,28.50085503,354.0,633.0,-285.0,981.0
lac qui parle county,mn,28.46164793,350.0,502.0,-197.0,807.0
reagan county,tx,27.77006387,147.0,390.0,-243.0,537.0
estill county,ky,27.60905577,778.0,863.0,-85.0,1641.0
wolfe county,ky,27.59381898,509.0,362.0,147.0,871.0
smith county,ks,26.98327037,15811.0,13847.0,1006.0,28700.0
wells county,in,25.16718199,2126.0,1435.0,669.0,3539.0
traill county,nd,24.25712553,542.0,571.0,-36.0,1106.0
corson county,sd,23.72479241,35.0,158.0,-123.0,193.0
fountain county,in,23.69668246,1138.0,1243.0,-129.0,2357.0
oneida county,id,23.39181287,12368.0,11103.0,507.0,22713.0
leelanau county,mi,22.99167701,1661.0,1382.0,249.0,3013.0
cuming county,ne,22.23210316,293.0,391.0,-98.0,684.0
ouray county,co,21.94426158,318.0,653.0,-341.0,965.0
pipestone county,mn,21.57497303,726.0,587.0,115.0,1289.0
owsley county,ky,21.486893,153.0,456.0,-303.0,609.0
oconto county,wi,21.43737607,1905.0,2150.0,-264.0,4036.0
east feliciana parish,la,20.2757502,1672.0,1890.0,-228.0,3552.0
metcalfe county,ky,20.0340579,652.0,513.0,128.0,1154.0
dickey county,nd,19.05487805,230.0,271.0,-54.0,488.0
owen county,in,18.86703457,2755.0,2379.0,319.0,5077.0
knott county,ky,18.77816725,1168.0,790.0,345.0,1925.0
alleghany county,nc,18.28320687,697.0,1128.0,-438.0,1818.0
leslie county,ky,18.15046737,376.0,1023.0,-654.0,1392.0
cotton county,ok,16.25487646,457.0,499.0,-48.0,950.0
menifee county,ky,15.90330789,395.0,160.0,227.0,547.0
menard county,il,15.86420243,642.0,877.0,-238.0,1516.0
bland county,va,14.84780995,532.0,311.0,221.0,843.0
breathitt county,ky,14.76559616,616.0,751.0,-150.0,1352.0
lexington city,va,13.94700139,1300.0,625.0,612.0,1862.0
presidio county,tx,13.88696014,315.0,852.0,-644.0,1060.0
rolette county,nd,13.71553971,339.0,570.0,-233.0,907.0
hickory county,mo,10.74691026,853.0,545.0,297.0,1387.0
bath county,ky,8.360504975,1039.0,962.0,18.0,1942.0
haakon county,sd,0.0,42.0,180.0,-138.0,222.0
day county,sd,0.0,287.0,163.0,119.0,445.0
yukon-koyukuk census area,ak,0.0,378.0,422.0,-60.0,784.0
bowman county,nd,0.0,143.0,347.0,-205.0,489.0
sibley county,mn,0.0,689.0,1131.0,-477.0,1785.0
robertson county,ky,0.0,6094.0,5523.0,266.0,11312.0
hyde county,nc,0.0,441.0,278.0,163.0,719.0
petroleum county,mt,0.0,70.0,13.0,57.0,83.0
kingsbury county,sd,0.0,350.0,226.0,117.0,569.0
perry county,al,0.0,10769.0,11683.0,-1408.0,21958.0
yakutat city and borough,ak,0.0,60.0,0.0,50.0,50.0
lyman county,sd,0.0,210.0,188.0,21.0,397.0
collingsworth county,tx,0.0,187.0,159.0,28.0,346.0
aleutians east borough,ak,0.0,381.0,871.0,-530.0,1212.0
lake and peninsula borough,ak,0.0,74.0,149.0,-85.0,213.0
gregory county,sd,0.0,223.0,131.0,91.0,353.0
norman county,mn,0.0,387.0,437.0,-72.0,802.0
treasure county,mt,0.0,65.0,4.0,61.0,69.0
gates county,nc,0.0,604.0,1110.0,-507.0,1713.0
mora county,nm,0.0,54.0,203.0,-149.0,257.0
loup county,ne,0.0,56.0,26.0,30.0,82.0
kalawao county,hi,0.0,6.0,7.0,-2.0,12.0
jackson parish,la,0.0,1097.0,1014.0,54.0,2082.0
alcorn county,ms,0.0,1280.0,1533.0,-322.0,2744.0
harding county,nm,0.0,99.0,213.0,-114.0,312.0
frontier county,ne,0.0,219.0,115.0,103.0,333.0
dundy county,ne,0.0,278.0,135.0,139.0,409.0
arthur county,ne,0.0,26.0,28.0,-3.0,53.0
colfax county,ne,0.0,1478.0,1468.0,-198.0,2738.0
jewell county,ks,0.0,107.0,64.0,40.0,168.0
hayes county,ne,0.0,15.0,11.0,3.0,25.0
keya paha county,ne,0.0,26.0,4.0,22.0,30.0
gallatin county,il,0.0,12356.0,9369.0,2499.0,21237.0
powder river county,mt,0.0,103.0,405.0,-302.0,508.0
king county,tx,0.0,152834.0,127326.0,-6542.0,248110.0
sharkey county,ms,0.0,84.0,399.0,-315.0,483.0
glascock county,ga,0.0,145.0,177.0,-32.0,322.0
issaquena county,ms,0.0,201.0,103.0,98.0,304.0
yalobusha county,ms,0.0,831.0,384.0,447.0,1215.0
hooker county,ne,0.0,88.0,22.0,66.0,110.0
jenkins county,ga,0.0,424.0,565.0,-173.0,957.0
southeast fairbanks census area,ak,0.0,803.0,181.0,571.0,933.0
sanborn county,sd,0.0,96.0,210.0,-114.0,306.0
emmons county,nd,0.0,126.0,193.0,-73.0,313.0
cavalier county,nd,0.0,197.0,190.0,2.0,382.0
daggett county,ut,0.0,40.0,39.0,1.0,79.0
motley county,tx,0.0,172.0,8.0,164.0,180.0
piute county,ut,0.0,23.0,49.0,-26.0,72.0
fallon county,mt,0.0,168.0,156.0,0.0,312.0
chattahoochee county,ga,0.0,3574.0,5521.0,-2179.0,8863.0
coke county,tx,0.0,347.0,306.0,41.0,653.0
kidder county,nd,0.0,301.0,146.0,149.0,441.0
sargent county,nd,0.0,143.0,101.0,23.0,225.0
billings county,nd,0.0,32.0,5.0,27.0,37.0
aurora county,sd,0.0,149.0,947.0,-804.0,1090.0
divide county,nd,0.0,76.0,246.0,-170.0,322.0
elk county,ks,0.0,632.0,1474.0,-843.0,2105.0
granite county,mt,0.0,339.0,157.0,178.0,492.0
toole county,mt,0.0,441.0,451.0,-18.0,884.0
noxubee county,ms,0.0,303.0,422.0,-143.0,701.0
merrick county,ne,0.0,371.0,813.0,-445.0,1181.0
prentiss county,ms,0.0,876.0,952.0,-82.0,1822.0
garza county,tx,0.0,1342.0,161.0,967.0,1289.0
big stone county,mn,0.0,329.0,370.0,-43.0,697.0
echols county,ga,0.0,167.0,294.0,-127.0,461.0
gentry county,mo,0.0,220.0,390.0,-172.0,608.0
lipscomb county,tx,0.0,151.0,167.0,-20.0,314.0
red lake county,mn,0.0,95.0,203.0,-110.0,296.0
slope county,nd,0.0,8.0,72.0,-64.0,80.0
bon homme county,sd,0.0,888.0,351.0,536.0,1238.0
loving county,tx,0.0,0.0,66.0,-66.0,66.0
banner county,ne,0.0,12.0,97.0,-85.0,109.0
sully county,sd,0.0,103.0,33.0,70.0,136.0
mineral county,co,0.0,1519.0,1662.0,-150.0,3174.0
edmunds county,sd,0.0,97.0,52.0,45.0,149.0
garden county,ne,0.0,206.0,138.0,67.0,343.0
thurston county,ne,0.0,24970.0,19979.0,3020.0,42978.0
kinney county,tx,0.0,178.0,156.0,-62.0,250.0
furnas county,ne,0.0,198.0,571.0,-376.0,766.0
wibaux county,mt,0.0,46.0,69.0,-23.0,115.0
hinsdale county,co,0.0,69.0,18.0,51.0,87.0
briscoe county,tx,0.0,60.0,37.0,23.0,97.0
foster county,nd,0.0,197.0,366.0,-171.0,561.0
box butte county,ne,0.0,1044.0,343.0,701.0,1387.0
cottle county,tx,0.0,77.0,55.0,20.0,130.0
ohio county,in,0.0,3966.0,3555.0,301.0,7411.0
jerauld county,sd,0.0,113.0,145.0,-32.0,258.0
cimarron county,ok,0.0,92.0,200.0,-109.0,291.0
